segment,selected_pairs,completed_trades,total_return,cagr,annualised_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,hit_rate,monthly_win_rate,best_month,worst_month,skewness,kurtosis,var_95,expected_shortfall_95,max_drawdown_duration
16,4.0,9.0,-0.0410094894512657,-0.1542203355422625,0.0297624665992606,-5.181705455356761,-6.734278807463168,-2.9623782978132307,-0.0520596358865121,0.3492063492063492,0.5,0.0039302192571539,-0.0285209086136848,-0.5074721891484195,0.9679960763323594,-0.0032995409154216,-0.0048612584500604,50.0
17,4.0,6.0,-0.0042686722475441,-0.0169656704091264,0.035165690619125,-0.482449515719153,-0.7927543391936361,-0.823871562040508,-0.020592615634295,0.365079365079365,0.25,0.0066996029976631,-0.0101961785739035,0.4836488964676153,1.6999430480292856,-0.0032445183014702,-0.004461815114214,40.0
18,4.0,7.0,0.0110288387175223,0.0448505473496687,0.0496803787805847,0.9027819121056406,1.1405875196765194,1.7200504826634362,-0.0260751343066508,0.5396825396825397,0.75,0.0097426607506498,-0.0030690533068672,-0.4028530419589666,3.069726479922692,-0.0041880918706936,-0.0067694388789415,42.0
19,4.0,10.0,0.0096060947801759,0.0389815956659327,0.0329792252514423,1.1820045913367212,1.9033680431079911,2.6144978067037834,-0.0149097832730938,0.5396825396825397,0.5,0.020533731232174,-0.0133024808295749,-0.3337068582210821,0.1975063664160128,-0.0031154470577136,-0.0042446048633497,47.0
20,4.0,7.0,0.0354242120043646,0.1494054833082616,0.0422946334732248,3.5324926838021837,5.382616018012479,7.994750492162623,-0.0186879482298698,0.4126984126984127,0.75,0.0210905609087641,-0.0051344753613451,1.048885077873919,3.6798160673061098,-0.0032686320367342,-0.0045451137960148,37.0
21,4.0,6.0,-0.0272636930332175,-0.1046754272668244,0.054183812671776,-1.931857913006354,-2.650605093593018,-3.4960114171491865,-0.0299413859901469,0.365079365079365,0.25,0.0003322514686372,-0.0215601846590531,-0.0547781453470325,1.7417992077171496,-0.0058078370617599,-0.0077061110474235,53.0
22,4.0,8.0,0.0001438760547094,0.0005756284326661,0.0446844590634795,0.0128820723072505,0.0162617277272669,0.0214340907238267,-0.0268557430349137,0.5238095238095238,0.75,0.0067616982439673,-0.0154233395063169,-0.5742377621134803,1.8283878285854227,-0.004224209836101,-0.0066295790475266,43.0
23,3.0,5.0,-0.0205203111168306,-0.0795891311767795,0.031064208216588,-2.5620846545278977,-3.0484418208742485,-3.568836229157921,-0.0223011441451206,0.365079365079365,0.25,0.0074308349030725,-0.0182150454188529,-0.8309080033718584,2.0232894681072318,-0.0036269703694732,-0.0051019102705555,52.0
24,2.0,5.0,-0.0193230652098953,-0.0750806957816693,0.0443120717670426,-1.6943621182142756,-2.755630004938318,-2.7652599483169538,-0.0271514060829494,0.365079365079365,0.25,0.0080468234440616,-0.0183769666251932,1.4654195800802123,6.714559254983461,-0.0047555774399609,-0.0054153398718782,47.0
25,3.0,6.0,0.0077591875661662,0.0313998524067193,0.0376470952013532,0.8340577736151795,1.456228238402287,3.313957184433744,-0.0094750326148479,0.3333333333333333,0.5,0.0102023342818302,-0.0045270083278908,0.7983264637040938,2.2276593979801325,-0.0034865351761214,-0.0042414636242952,21.0
26,3.0,4.0,-0.0017650533095641,-0.0070415427449184,0.0297397422558977,-0.2367721510270319,-0.3182492192109856,-0.3676456817508253,-0.0191530680066327,0.3809523809523809,0.75,0.0072706671350177,-0.01391251573634,0.4553247783075975,2.521097196218596,-0.0035011562021575,-0.0039852921600292,44.0
27,4.0,7.0,0.0128449134418928,0.052378109019471,0.0613221375824884,0.8541468233884342,0.813492383452528,2.0047494835026995,-0.0261270096091786,0.4761904761904761,0.5,0.0101689630268733,-0.004573057006445,-2.4287133863096546,13.51929488805562,-0.0048139156077283,-0.0093630077010758,41.0
28,4.0,7.0,-0.0061950155551637,-0.0245507424560184,0.0544051539176884,-0.4512576601320183,-0.7368902600128224,-0.684180360782497,-0.0358834363908658,0.4285714285714285,0.75,0.0035480651214365,-0.0128485476633538,0.3070318710094429,1.3153339716952717,-0.005072722661363,-0.0069246662821041,57.0
29,4.0,7.0,-0.0125850600685528,-0.0526571810599955,0.0274231986216538,-1.9201691891045984,-1.888460747403675,-2.882908617150405,-0.018265296633663,0.423728813559322,0.3333333333333333,0.005785918075049,-0.015994355297261,-2.653140763046102,22.76039565930277,-0.0015914722973986,-0.0046978646448195,41.0
