pair,entry_date,exit_date,direction,entry_zscore,exit_zscore,holding_period,gross_return,net_return,exit_reason,transaction_cost,segment,universe_mode,peer_group,hedge_mode,weight
MS/STT,2023-12-15,2024-01-05,short_spread,3.013349119946755,-0.4379377689396781,14,-0.0132937616431229,-0.0142885300794255,time_stop,0.001,25,stock_peer_groups,capital_markets,kalman,0.2703101820072726
CVS/CNC,2023-11-10,2023-12-08,long_spread,-3.205017809794225,2.3339757824916587,20,0.0610598615408941,0.0589470611081708,time_stop,0.002,25,stock_peer_groups,managed_care,kalman,0.228245657821276
CVS/CNC,2023-12-11,2024-01-05,short_spread,2.160135665842298,-0.2235157951552294,18,-0.0394259336435397,-0.0403730274654167,time_stop,0.001,25,stock_peer_groups,managed_care,kalman,0.228245657821276
ADBE/NOW,2023-10-12,2023-11-08,short_spread,2.7250240966282204,1.585583516566822,20,0.0006194271798998,-0.0013901942267389,time_stop,0.002,25,stock_peer_groups,enterprise_software,kalman,0.2209364399363079
ADBE/NOW,2023-12-18,2024-01-05,long_spread,-2.0539292735518067,-0.7300516248496342,13,-0.0074037447436416,-0.0083851710784627,time_stop,0.001,25,stock_peer_groups,enterprise_software,kalman,0.2209364399363079
TXN/NXPI,2023-10-20,2023-11-16,short_spread,2.2134110331206367,-0.2855962184481516,20,0.0139333460443458,0.0119156835743918,time_stop,0.002,25,stock_peer_groups,semiconductors,kalman,0.2805077202351436
ADBE/NOW,2024-01-26,2024-02-20,short_spread,2.7764051866659925,-3.58891411249211,17,0.0754469389617449,0.0733073890337294,stop_loss,0.002,26,stock_peer_groups,enterprise_software,kalman,0.3447217029299099
ADBE/NOW,2024-03-18,2024-04-08,long_spread,-3.4102898839098104,-0.4671160130963303,15,-0.0318883055203592,-0.0328381054796632,time_stop,0.001,26,stock_peer_groups,enterprise_software,kalman,0.3447217029299099
MS/STT,2024-01-17,2024-02-13,long_spread,-2.463347911682485,0.3624203648593528,20,0.0242589596238964,0.0222058990196027,time_stop,0.002,26,stock_peer_groups,capital_markets,kalman,0.3052782970700901
EEM/VWO,2024-02-05,2024-03-04,short_spread,2.939095695653013,-1.4135958740488463,20,0.0020364813973043,3.4074823818341926e-05,time_stop,0.002,26,etf_peer_groups,emerging_markets,kalman,0.35
EEM/VWO,2024-03-14,2024-04-08,short_spread,2.3841301006401032,-0.8744357012925207,17,0.0017957081990016,0.0007935798777238,time_stop,0.001,26,etf_peer_groups,emerging_markets,kalman,0.35
MS/STT,2024-04-12,2024-05-09,long_spread,-3.4155556012144315,0.1761426887724962,20,0.059178096814378,0.0570454321295923,time_stop,0.002,27,stock_peer_groups,capital_markets,kalman,0.35
MS/STT,2024-05-30,2024-06-27,long_spread,-2.1376255537837614,-0.7402701441408135,20,0.0022638492145485,0.0002578379566531,time_stop,0.002,27,stock_peer_groups,capital_markets,kalman,0.35
CVS/CNC,2024-04-11,2024-05-02,long_spread,-2.474826345941803,-4.883179017877436,16,-0.1357622309696852,-0.1374987612640236,stop_loss,0.002,27,stock_peer_groups,managed_care,kalman,0.3
CVS/CNC,2024-05-03,2024-05-31,long_spread,-3.277361241471158,1.777560795379486,20,0.0341637289727128,0.0321037438082092,time_stop,0.002,27,stock_peer_groups,managed_care,kalman,0.3
