pair,universe_mode,peer_group,ticker_y,ticker_x,stage,hedge_mode,entry_threshold,exit_threshold,stop_threshold,max_holding_period,zscore_window,use_volatility_filter,volatility_percentile,cooldown_days,stability_score,training_score,validation_total_return,validation_sharpe,validation_max_drawdown,validation_volatility,validation_profit_factor,validation_trades,validation_turnover,validation_average_holding_period,validation_win_rate,robust_score,weight,segment,train_start,train_end,validation_start,validation_end,test_start,test_end,train_observations,validation_observations,test_observations
CSX/UNP,stock_peer_groups,railroads,UNP,CSX,refinement,kalman,2.0,0.0,3.5,20,45,False,0.9,0,0.717905902395736,0.7125398718847044,0.0283788838483285,0.7693622638295068,-0.0493087670440235,0.074819277538533,1.8444228366935067,4.0,8.0,15.5,0.5,0.710432573898766,0.35,10,2017-07-05,2019-07-05,2019-07-08,2020-01-03,2020-01-06,2020-04-03,504,126,63
CNC/UNH,stock_peer_groups,managed_care,UNH,CNC,refinement,kalman,2.0,0.0,3.5,20,39,False,0.9,0,0.874510921538034,1.2050846812088158,0.1413421419883498,2.398281332078588,-0.0356233377620776,0.1261994917069374,5.0,4.0,7.0,15.25,1.0,2.2584343370548345,0.2555340310638121,11,2017-10-03,2019-10-03,2019-10-04,2020-04-03,2020-04-06,2020-07-06,504,126,63
ADBE/INTU,stock_peer_groups,enterprise_software,ADBE,INTU,refinement,kalman,2.0,0.0,3.5,20,33,False,0.9,0,0.7934391988644015,0.8791446001241923,0.1154290768091805,1.7072430380637766,-0.0528970500624574,0.143027102730677,4.949790448356764,4.0,7.0,17.0,0.5,1.663437533672422,0.2254696083357151,11,2017-10-03,2019-10-03,2019-10-04,2020-04-03,2020-04-06,2020-07-06,504,126,63
EEM/IEMG,etf_peer_groups,emerging_markets,EEM,IEMG,refinement,kalman,2.0,0.0,3.5,20,20,False,0.9,0,0.7308647479589104,0.6308647479589103,0.0016187553307553,0.3232699939321017,-0.0043588459278444,0.0100229872587931,1.3945725876746895,4.0,8.0,20.0,0.5,0.350311789211968,0.35,11,2017-10-03,2019-10-03,2019-10-04,2020-04-03,2020-04-06,2020-07-06,504,126,63
ABBV/MRK,stock_peer_groups,large_pharma,MRK,ABBV,refinement,kalman,2.0,0.0,3.5,20,32,False,0.9,0,0.6726660551875097,1.027270932625939,0.0207002705290655,0.2192042252627977,-0.1304260796041256,0.1908222444524502,1.4786930898822228,4.0,7.0,18.5,0.25,0.1881038147711356,0.1689963606004727,11,2017-10-03,2019-10-03,2019-10-04,2020-04-03,2020-04-06,2020-07-06,504,126,63
MCHP/NXPI,stock_peer_groups,semiconductors,MCHP,NXPI,refinement,kalman,2.0,0.0,3.5,20,35,False,0.9,0,0.8053653000804998,0.9177717997562632,0.2229088502241201,2.3614959238608537,-0.0871939419649396,0.2098271908707626,3.790785365039113,5.0,10.0,16.8,0.8,2.2912188065950603,0.1631383796095825,12,2018-01-03,2020-01-03,2020-01-06,2020-07-06,2020-07-07,2020-10-02,504,126,63
AXP/MA,stock_peer_groups,payments_credit,MA,AXP,refinement,kalman,2.0,0.0,3.5,20,26,False,0.9,0,0.7202637342195664,1.066643729882882,0.0909330974931588,1.307946584448251,-0.0568768723416877,0.1453691041107961,15.11828307938342,4.0,8.0,20.0,0.75,1.3032362077022408,0.2354755374332984,12,2018-01-03,2020-01-03,2020-01-06,2020-07-06,2020-07-07,2020-10-02,504,126,63
IYR/VNQ,etf_peer_groups,us_real_estate,VNQ,IYR,refinement,kalman,2.0,0.0,3.5,20,20,False,0.9,0,0.9084399791590152,0.8084399791590151,0.0078589749651307,1.2403316920423937,-0.0058310710401299,0.0127221722374766,46.1244878573709,3.0,5.0,16.666666666666668,0.6666666666666666,1.2513090165114864,0.35,12,2018-01-03,2020-01-03,2020-01-06,2020-07-06,2020-07-07,2020-10-02,504,126,63
SCHW/STT,stock_peer_groups,capital_markets,SCHW,STT,refinement,kalman,2.0,0.0,3.5,20,24,False,0.9,0,0.7372857177744184,0.779823542113704,0.0135261714207415,0.2000117391337183,-0.1395213598491315,0.1361685082722971,3.0658755636441133,3.0,6.0,20.0,0.6666666666666666,0.3162492383219186,0.251386082957119,12,2018-01-03,2020-01-03,2020-01-06,2020-07-06,2020-07-07,2020-10-02,504,126,63
MA/V,stock_peer_groups,payments_credit,V,MA,refinement,kalman,2.0,0.0,3.5,20,20,False,0.9,0,0.7251403805079061,0.8853112693108692,0.0370979441970924,1.8096154638973825,-0.0109832836106225,0.0417614390269827,5.0,3.0,6.0,20.0,1.0,1.5938960397160675,1.0,13,2018-04-05,2020-04-03,2020-04-06,2020-10-02,2020-10-05,2021-01-04,504,126,63
MCHP/NXPI,stock_peer_groups,semiconductors,MCHP,NXPI,refinement,kalman,2.0,0.0,3.5,20,24,False,0.9,0,0.8773815299460457,1.2753760835182928,0.0201569770727931,0.4680473827108883,-0.0765712737730764,0.0870002896596736,2.008446840681225,3.0,6.0,20.0,0.3333333333333333,0.4941889487610568,1.0,14,2018-07-05,2020-07-06,2020-07-07,2021-01-04,2021-01-05,2021-04-06,504,126,63
TGT/WMT,stock_peer_groups,big_box_retail,WMT,TGT,refinement,kalman,2.0,0.0,3.5,20,22,False,0.9,0,0.712623606429318,0.9933634247904896,0.0485928358404732,1.189448190958604,-0.0330261065665395,0.0836916951344795,5.867323379740616,2.0,4.0,20.0,0.5,1.0286244274343967,0.2670734024485152,15,2018-10-03,2020-10-02,2020-10-05,2021-04-06,2021-04-07,2021-07-06,504,126,63
CAT/DE,stock_peer_groups,industrial_machinery,CAT,DE,refinement,kalman,2.0,0.0,3.5,20,24,False,0.9,0,0.7038349259173445,0.7510300317641363,0.0347009327940732,0.7409262236797216,-0.0348063315011181,0.0952942655670477,11.009281331010046,3.0,6.0,20.0,0.6666666666666666,0.8132850341456538,0.2345558323288913,15,2018-10-03,2020-10-02,2020-10-05,2021-04-06,2021-04-07,2021-07-06,504,126,63
